code,title,product_type,current_stock,current_unit_cost,ecom_units,all_shopify_units,first_sale,last_sale,sales_days,jul_01_15,jul_16_31,aug_01_15,aug_16_20,aug_21_27,last3_aug25_27,aug27
"910B8502NSZ","Zaino Center Rip Revealing Gray Check Backpack","Zaini","0","45.5","10","15","2026-07-28","2026-08-17","9","0","2","7","1","0","0","0"
"910B9526NSZ","Metallic Pink Metallic Drip Pouch","Pochette e Borselli","0","17","9","10","2026-07-23","2026-08-11","7","0","1","8","0","0","0","0"
"910B9325NSZ","Zaino Blacked Out Embossed Gold Tooth Backpack","Zaini","1","45.5","8","9","2026-08-07","2026-08-26","6","0","0","2","3","3","3","0"
"910B9448NSZ","Lux Black Ghost Drip Pouch","Pochette e Borselli","2","14","8","8","2026-08-25","2026-08-27","3","0","0","0","0","8","8","5"
"910B8633NSZ","Zaino Sharks In Paris Wtf Bubbly Black Check Backpack","Zaini","0","45.5","7","10","2026-07-22","2026-08-26","7","0","2","1","1","3","1","0"
"910B9147NSZ","Zaino Pink Panther On The Run Backpack","Zaini","0","49.5","5","5","2026-07-19","2026-07-30","5","0","5","0","0","0","0","0"
"910B8422NSZ","Zaino Lux Black Ghost Drip Backpack","Zaini","0","45.5","5","5","2026-07-25","2026-07-26","2","0","5","0","0","0","0","0"
"910B9134NSZ","Zaino Pink Panther Graff Backpack","Zaini","0","42","5","5","2026-07-31","2026-08-23","5","0","1","3","0","1","0","0"
"910B9111NSZ","Zaino Looney Tunes Taz Beast Feast Backpack","Zaini","0","49.5","5","5","2026-08-16","2026-08-24","5","0","0","0","2","3","0","0"
"910B9185NSZ","Family Guy Stewie Holding Bear Keychain Backpack","Zaini","0","49.5","5","5","2026-08-17","2026-08-26","4","0","0","0","2","3","1","0"
"910B7621NSZ","Zaino Split Ocean Deep Backpack","Zaini","0","45.5","5","5","2026-08-25","2026-08-27","3","0","0","0","0","5","5","1"
"910B8715NSZ","Zaino Pink New Check Faces Backpack","Zaini","0","45.5","5","5","2026-08-25","2026-08-26","2","0","0","0","0","5","5","0"
"910T9510NSZ","Raised Check Tote","Borse","0","38","5","5","2026-08-26","2026-08-27","2","0","0","0","0","5","5","2"
"910B9629NSZ","Zaino Shark Central Black Embroidered Shark Backpack","Zaini","2","45.5","4","7","2026-08-08","2026-08-26","3","0","0","1","0","3","2","0"
"910B9635NSZ","Zaino Shark Central Blacked Out Embossed Nylon Backpack","Zaini","0","52","4","5","2026-08-02","2026-08-12","4","0","0","4","0","0","0","0"
"910B8634NSZ","Zaino Sharks In Paris Wtf Bubble Brown Check Backpack","Zaini","10","45.5","4","5","2026-08-07","2026-08-27","4","0","0","1","0","3","1","1"
"910B8798NSZ","Zaino Peanuts Snoopy Jams Backpack","Zaini","0","49.5","4","5","2026-08-09","2026-08-23","4","0","0","1","1","2","0","0"
"910B9626NSZ","Zaino Shark Central Embossed Black Nylon Backpack","Zaini","5","45.5","4","5","2026-08-19","2026-08-24","4","0","0","0","2","2","0","0"
"910B9257NSZ","Zaino New Ai Pattern Backpack","Zaini","0","52","4","4","2026-08-09","2026-08-23","4","0","0","2","1","1","0","0"
"910B9515NSZ","Disappearing Shark Crossover Clutch","Pochette e Borselli","6","28","4","4","2026-08-11","2026-08-23","3","0","0","1","1","2","0","0"
"910B9669NSZ","Zaino Tupac Backpack","Zaini","1","52","4","4","2026-08-25","2026-08-27","2","0","0","0","0","4","4","3"
"910B8553NSZ","Zaino Black And White Drip Check Shark Backpack","Zaini","0","45.5","3","9","2026-07-22","2026-08-19","3","0","1","0","2","0","0","0"
"910B9555NSZ","Zaino Scarface Gold Embossed Backpack","Zaini","0","55","3","5","2026-07-27","2026-08-05","2","0","1","2","0","0","0","0"
"910B9303NSZ","Sharks In Paris Wtf Bubble Brown Check Pouch","Pochette e Borselli","4","14","3","5","2026-08-22","2026-08-27","3","0","0","0","0","3","2","1"
"910B8552NSZ","Zaino Brown And Cream Drip Check Shark Backpack","Zaini","6","45.5","3","4","2026-08-02","2026-08-18","3","0","0","2","1","0","0","0"
"910B6854NSZ","Marsupio Hangover Drip Check","Pochette e Borselli","-1","28.5","3","3","2026-07-04","2026-07-24","3","2","1","0","0","0","0","0"
"910B8883NSZ","Zaino Blue Ink Doodle Backpack","Zaini","2","36.5","3","3","2026-08-11","2026-08-22","2","0","0","2","0","1","0","0"
"910B9082NSZ","Zaino Rick And Morty Portal Jumping Backpack","Zaini","0","49.5","3","3","2026-08-12","2026-08-27","3","0","0","1","1","1","1","1"
"910B9113NSZ","Zaino Pink Panther Surf Backpack","Zaini","0","49.5","2","5","2026-08-09","2026-08-10","2","0","0","2","0","0","0","0"
"910B9412NSZ","Money Banks Pouch","Pochette e Borselli","5","17","2","5","2026-08-13","2026-08-24","2","0","0","1","0","1","0","0"
"910B8967NSZ","Tracolla Smeared Grunge Og","Pochette e Borselli","1","34","2","3","2026-07-04","2026-08-05","2","1","0","1","0","0","0","0"
"910B8237NSZ","Check 2 Emboss Backpack Sling","Zaini","0","34","2","3","2026-07-19","2026-08-06","2","0","1","1","0","0","0","0"
"910B8973NSZ","Astuccio Smeared Grunge","Pochette e Borselli","0","17","2","2","2026-07-02","2026-08-07","2","1","0","1","0","0","0","0"
"910B8294NSZ","Cream And Brown Tear Check Toiletry Bag","Beauty Case","1","28.5","2","2","2026-07-03","2026-07-29","2","1","1","0","0","0","0","0"
"910B8296NSZ","Cream And Brown Tear Check Savvy Crossbody","Pochette e Borselli","0","28.5","2","2","2026-07-03","2026-07-05","2","2","0","0","0","0","0","0"
"910B7819NSZ","Sawtooth Sharks In Paris One-Strap Sling","Pochette e Borselli","0","45.5","2","2","2026-08-04","2026-08-08","2","0","0","2","0","0","0","0"
"910B8721NSZ","Zaino Pink Ghost Drip Backpack","Zaini","0","45.5","2","2","2026-08-07","2026-08-07","1","0","0","2","0","0","0","0"
"910B8391NSZ","Zaino Metallic Pink Metallic Drip Backpack","Zaini","0","61","2","2","2026-08-07","2026-08-08","2","0","0","2","0","0","0","0"
"910B9138NSZ","Zaino Sonic On The Run Backpack","Zaini","3","42","2","2","2026-08-09","2026-08-19","2","0","0","1","1","0","0","0"
"910B9078NSZ","Zaino Disney Hokusai Money Wave Backpack","Zaini","0","42","2","2","2026-08-09","2026-08-17","2","0","0","1","1","0","0","0"
"910B8620NSZ","Zaino Sprayground Authentic Luxe Black Backpack","Zaini","0","98","2","2","2026-08-11","2026-08-24","2","0","0","1","0","1","0","0"
"910B8470NSZ","Zaino 2 Tone Gold Trinity Backpack","Zaini","0","98","2","2","2026-08-12","2026-08-16","2","0","0","1","1","0","0","0"
"910B8860NSZ","Zaino Pink Panther Pawprints Backpack","Zaini","3","49.5","2","2","2026-08-17","2026-08-24","2","0","0","0","1","1","0","0"
